course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,profit,year,month,clean_course_title
"Introduction to Finance, Accounting, Modeling and Valuation",1,200,11441,1118,61,0,4.5,2288200,2016,6,Introduction Finance Accounting Modeling Valuation
Beginner to Pro in Excel: Financial Modeling and Valuation,1,195,22257,2697,138,0,7.5,4340115,2014,11,Beginner Pro Excel Financial Modeling Valuation
The Complete Investment Banking Course 2017,1,195,8575,809,110,0,5.5,1672125,2016,10,Complete Investment Banking Course 2017
The Complete Financial Analyst Course 2017,1,195,24481,2347,174,0,10.0,4773795,2016,1,Complete Financial Analyst Course 2017
Python for Finance: Investment Fundamentals & Data Analytics,1,195,3811,278,103,0,6.5,743145,2017,3,Python Finance Investment Fundamentals  Data Analytics
Financial Modeling for Startups & Small Businesses,1,195,4991,137,79,1,11.5,973245,2017,3,Financial Modeling Startups  Small Businesses
Options Trading - How to Win with Weekly Options,1,115,7489,1190,25,2,1.0,861235,2015,10,Options Trading  Win Weekly Options
Black Algo Trading: Build Your Trading Robot,1,200,20195,1113,227,0,16.0,4039000,2014,10,Black Algo Trading Build Trading Robot
Accounting & Financial Statement Analysis: Complete Training,1,150,10042,594,43,0,3.0,1506300,2015,10,Accounting  Financial Statement Analysis Complete Training
Cryptocurrency Trading: Complete Guide To Trading Altcoins,1,95,367,42,35,0,5.0,34865,2017,6,Cryptocurrency Trading Complete Guide Trading Altcoins
Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,1,200,10603,872,42,0,5.5,2120600,2014,10,Forex Robots Expect Earn 175 PA Forex Robot Included
Three Steps Trading - Live Trading - Real Account,1,190,1197,11,46,0,5.0,227430,2017,5,Steps Trading  Live Trading  Real Account
Option Trading for Rookies:  Understand Options Completely,1,150,2893,65,62,0,2.0,433950,2016,8,Option Trading Rookies Understand Options Completely
How I Learned Stock Trading (and How You Can Too),1,200,1580,12,53,3,2.0,316000,2017,5,Learned Stock Trading and Too
Learn to Trade for Profit: Find and Trade Winning Stocks,1,95,10605,71,77,0,3.0,1007475,2014,10,Learn Trade Profit Find Trade Winning Stocks
Trading Inside Bars - Master 1 Easy Pattern To Be Successful,1,125,2996,200,23,2,2.0,374500,2015,3,Trading Inside Bars  Master 1 Easy Pattern Successful
Four Fundamentals of Financial Planning,1,30,6219,23,20,0,1.0,186570,2017,2,Fundamentals Financial Planning
Options Trading - Calendar Spread Course for Every Trader,1,200,1113,11,17,0,1.5,222600,2017,4,Options Trading  Calendar Spread Course Trader
Dividend Investing: Build Your Portfolio for a Better Future,1,60,8314,83,47,1,4.0,498840,2015,1,Dividend Investing Build Portfolio Better Future
Learn Accounting. Understand Business.,1,200,5572,123,33,1,5.5,1114400,2014,3,Learn Accounting Understand Business
How to Consistently Win Trading Stocks in 30 Days or Less,1,145,1433,169,15,2,1.0,207785,2016,5,Consistently Win Trading Stocks 30 Days
A Beginner's Guide to Quantopian Futures API,1,20,936,6,11,2,1.5,18720,2017,4,Beginners Guide Quantopian Futures API
How to Buy Cheap Options - Options Trading Pricing Model,1,200,658,2,19,0,1.0,131600,2017,6,Buy Cheap Options  Options Trading Pricing Model
Excel Crash Course: Master Excel for Financial Analysis,1,105,8121,689,40,0,3.5,852705,2016,10,Excel Crash Course Master Excel Financial Analysis
"Comprehensive Guide to Financial Markets, Investing &Trading",1,60,4187,600,79,1,9.0,251220,2016,2,Comprehensive Guide Financial Markets Investing Trading
Stock Trading Ninja: Complete System For Trading Success,1,155,9445,497,38,0,4.5,1463975,2014,2,Stock Trading Ninja Complete System Trading Success
